project_id,risk_overall,risk_environment_and_social,risk_fiduciary,risk_institutional_capacity,risk_macroeconomic,risk_political_and_governance,risk_sector_strategies_and_policies,risk_stakeholders,risk_technical_design,risk_rating_sequence
P118197,2,2,3,3,1,2,2,1,2,10
P118213,3,2,3,3,4,2,4,3,3,8
P118316,2,2,2,3,1,3,2,2,3,11
P118518,2,1,1,1,3,3,2,2,1,9
P118561,3,3,3,3,3,4,2,3,2,14
P118597,3,3,2,4,1,1,2,2,3,10
P118610,2,2,2,2,2,2,2,2,2,13
P118647,2,2,2,1,2,1,2,2,1,11
P118737,2,1,2,3,2,2,2,1,3,10
P118783,2,2,2,2,3,2,1,1,1,9
P118806,2,2,2,2,2,2,2,2,2,10
P118826,2,2,2,2,2,3,1,1,1,6
P118858,2,1,2,2,3,1,1,2,1,9
P118904,3,1,2,3,2,3,3,1,3,8
P118916,2,2,2,1,1,1,1,2,2,9
P118974,2,1,2,2,1,2,1,2,2,11
P118979,3,2,2,2,3,3,3,2,2,10
P119039,2,2,1,2,1,1,2,2,3,9
P119047,3,1,3,3,4,4,4,3,3,10
P119063,3,3,2,2,3,3,2,2,2,9
P119071,4,4,2,3,2,1,1,1,4,10
P119077,2,2,3,2,2,2,1,1,2,13
P119085,3,2,3,2,2,2,3,2,3,14
P119090,3,3,2,2,1,1,3,2,3,13
P119307,2,1,1,2,3,4,1,1,1,11
P119308,2,2,3,2,1,2,3,2,2,7
P119343,4,3,2,4,2,3,3,3,4,6
P119355,3,2,3,3,3,3,2,3,2,11
P119432,1,1,1,2,1,2,1,1,2,11
P119471,3,4,3,3,2,3,2,3,3,11
P119662,4,4,3,4,2,3,1,4,3,12
P119737,3,3,2,3,2,2,3,1,2,11
P119815,3,1,3,4,3,4,4,2,2,11
P119893,2,2,2,2,2,3,3,1,2,8
P119917,1,1,1,1,2,3,1,1,1,11
P120005,2,2,2,2,4,4,3,1,2,10
P120014,3,2,2,3,2,3,2,2,2,5
P120026,3,2,2,3,3,2,3,3,2,12
P120139,2,1,2,2,2,2,1,1,2,12
P120161,3,4,2,3,3,2,2,3,2,15
P120198,3,3,2,2,2,3,3,2,2,14
P120211,2,2,2,1,2,2,2,2,1,12
P120219,2,1,2,2,3,2,2,2,3,13
P120304,4,4,4,4,4,4,4,3,3,8
P120338,2,1,1,2,3,3,1,1,1,14
P120370,2,2,2,2,2,3,2,2,2,9
P120397,3,2,4,4,4,3,3,2,3,9
P120398,3,2,3,3,3,4,3,1,1,11
P120427,3,1,3,3,3,3,3,2,2,12
P120435,4,4,3,4,3,4,3,3,2,9
P120517,2,1,2,2,1,1,1,1,1,11
P120561,2,3,3,2,2,3,2,2,1,9
P120583,3,3,3,4,2,3,2,2,3,7
P120629,1,1,2,2,1,1,1,1,1,12
P120636,2,2,2,3,2,2,1,2,3,12
P120707,3,2,3,2,3,3,2,2,2,11
P120788,4,1,2,4,2,2,3,3,4,10
P120798,2,1,2,1,3,2,1,1,1,11
P120825,2,3,2,3,2,3,2,2,2,9
P120830,3,2,2,4,3,2,1,2,3,11
P120836,2,1,2,2,2,2,2,1,2,14
P120843,2,3,3,3,2,3,2,1,2,14
P120895,3,2,3,2,3,4,3,2,2,12
P120913,2,1,1,3,1,3,1,2,2,13
P120960,3,2,2,3,3,4,3,3,2,10
P121019,2,4,2,2,2,2,2,2,1,9
P121116,2,1,2,2,2,1,1,1,1,10
P121152,2,3,2,2,2,2,2,2,1,9
P121167,3,2,3,3,3,2,2,2,2,11
P121185,2,2,2,3,2,1,2,2,2,8
P121186,3,2,2,3,2,3,2,3,2,9
P121271,3,3,3,3,1,3,1,3,2,10
P121289,3,2,2,3,1,1,1,2,2,10
P121414,3,2,3,2,3,3,1,2,2,10
P121455,4,3,4,3,4,4,3,3,3,10
P121492,3,1,3,3,1,3,2,3,3,12
P121495,2,2,2,2,4,2,2,2,2,9
P121507,4,4,3,3,3,3,3,3,3,6
P121514,4,1,3,4,4,4,3,2,2,11
P121515,2,1,2,2,1,1,2,1,1,15
P121528,2,1,2,3,2,3,2,2,2,13
P121611,2,1,2,3,2,3,1,2,2,12
P121648,4,4,4,4,4,4,2,4,2,7
P121673,3,2,2,4,2,3,2,2,2,11
P121731,3,2,2,4,2,3,2,3,3,10
P121755,3,2,3,4,3,4,3,1,2,11
P121774,2,1,1,2,3,2,3,2,2,12
P121836,3,3,3,3,3,3,3,3,2,13
P121842,3,1,3,3,2,3,2,2,3,8
P122007,3,3,3,3,2,2,2,2,2,11
P122008,2,1,2,2,1,1,1,1,1,10
P122039,2,1,2,2,3,3,1,2,1,11
P122065,2,1,2,2,2,2,2,2,1,11
P122096,3,3,3,3,1,2,2,3,3,12
P122123,3,1,3,3,4,2,2,1,2,13
P122124,4,2,3,3,3,4,2,3,2,7
P122139,4,4,3,3,1,1,3,4,2,6
P122151,4,2,3,4,3,2,3,3,1,13
P122153,2,3,2,3,3,3,3,2,2,8
P122178,2,1,2,3,2,2,1,1,2,8
P122194,2,1,1,2,1,1,3,2,2,10
P122201,2,1,2,2,1,2,2,2,2,9
P122204,1,2,2,2,1,1,1,1,2,9
P122219,2,1,1,2,1,2,1,2,1,13
P122229,4,2,4,3,4,4,4,3,3,5
P122233,3,1,3,3,2,3,2,3,2,9
P122235,3,2,3,2,4,4,3,3,3,12
P122269,3,2,2,3,2,3,3,3,2,10
P122319,3,2,1,1,2,1,1,1,1,11
P122320,2,2,2,2,2,3,1,3,2,9
P122329,3,2,2,4,3,2,3,2,4,9
P122383,2,2,2,2,1,2,2,2,2,2
P122398,2,1,1,1,2,3,1,1,2,11
P122402,2,2,2,3,2,3,2,2,2,11
P122406,3,3,4,4,2,2,2,3,4,5
P122419,2,2,2,2,2,2,2,2,2,13
P122476,3,1,2,3,2,3,3,3,2,11
P122478,3,1,3,3,3,3,3,3,2,10
P122486,2,1,2,1,1,1,1,1,2,11
P122540,3,3,3,3,2,4,1,2,3,6
P122546,2,1,3,2,2,3,2,2,2,11
P122616,2,1,2,2,2,2,2,2,2,11
P122629,2,3,2,2,1,1,3,2,2,8
P122692,2,1,1,2,2,1,1,1,1,12
P122694,3,1,3,3,4,2,3,2,1,10
P122700,3,1,2,3,4,3,1,2,3,8
